Id,NCJW RM TPH Total Mll Feed,NCJW RM TPH BASALT WF  D19A,NCJW RM TPH IRON WF  D19,NCJW RM TPH LGLS WF D7,NCJW RM TPH CLAY WF  D15,NCJW RM TPH LGLS WF  D3,NCJW RM TPH HGLS WF  D11,NCJW RM CONTR MILL FEED SPA,NCJW RM CURRENT RM CLASSIFIER D29_1,NCJW RM SPD RMILL CLASSIFIER,NCJW RM VIB BODY D29,NCJW RM VIB GB  D29,NCJW RM DRAFT INLET,NCJW RM TEMP INLET,NCJW RM ACT INLET POSITION D40,NCJW RM TEMP EXIT,NCJW RM DRAFT EXIT,NCJW RM SPD RM ID FAN  D62,NCJW RM CURRENT RM ID FAN MOT  D62,NCJW RM ACT POSITION D61,NCJW RM VIB ID FAN  D62,NCJW RM TEMP ID FAN INLET  D62,NCJW RM PRESS HSS OPERATING,NCJW RM CURRENT RMILL MAIN MOT  D29,NCJW BH PRESS D50 BHOUSEDIFF D50,NCJW BH SPD BH ID FAN D53,NCJW BH CURRENT BH ID FAN D53,NCJW BH TEMP BHOUSEINLET D50,NCJW BH POSI BH ID FAN DMP POSI FB D52,NCJW XRF RM ECS RES212,SalePrice
82,278,1.6,1.5,-0.4,8.7,40,226.7,520,196.2,60,5.7,0.4,47.7,226.7,96.2,83.1,784.4,799.8,1347.5,98.3,0.9,79.6,59.4,172,95.2,541,30.1,219.6,96.2,2.1,509
83,275.3,1.5,5.6,-0.4,8.4,39,221.1,520,197.1,60,5.5,0.4,46.9,225.9,96.1,82.6,800.6,801.3,1329.8,98.3,0.9,79.1,59.7,175.2,90.8,540,29.3,224.7,96.5,2,501.8
84,277.7,1.5,6.9,-0.4,8.5,39.2,221.9,504.8,199.6,60,5.8,0.4,45.7,221.5,96.1,82.4,794.5,801.9,1340.3,98.3,0.9,79.5,59.9,174.6,94.9,545.5,29.4,226.2,96.6,2,494.6
85,273.1,1.5,6.8,-0.4,8.3,38.5,218.3,502.1,193.7,60,6.5,0.4,51.2,218.7,96.2,81.9,761.3,800.7,1376.2,98.3,0.9,78.7,59.6,169.4,92.1,541.4,29.3,219.4,96.6,2,477.2
86,274.9,1.5,4.3,-0.4,8.2,39.2,222.1,513.8,192.4,60,7.1,0.5,63.2,218.4,96.1,82.7,762.8,799.7,1383.6,98.3,0.9,79.1,59.8,167.3,96.3,581.7,36.3,226.6,96.6,2.1,511.2
87,272.4,1.2,0,-0.4,7.5,39.6,224.4,515,193.1,60,6.8,0.4,74.6,215.8,96.1,81.9,785,799.7,1377.8,98.3,0.9,78.7,60,168.5,92.9,612.7,41.4,233.6,96.7,2.1,514.7
88,274.8,0.7,0,-0.4,7.6,37.9,229,515,195.1,60.3,6.5,0.4,57.9,217.6,96.1,82,791.2,798,1356.1,98.3,0.9,78.5,60.2,169.9,87.7,556.5,31.8,219.7,96.7,2.3,513
89,270,0.2,0.2,-0.4,7.4,26.2,236.3,515,198.5,61,6.1,0.4,44.3,221.2,96.1,82.1,782.3,798.2,1340,98.3,0.9,78.1,60,173.7,92.3,520.6,26.4,205.3,96.7,2.7,514.8
90,268,0.7,0.6,0,7.4,25.9,233.4,515,197.3,61,6.1,0.4,52.6,224.7,96.1,81.9,789.4,798.2,1342.4,98.3,0.9,78.3,59.9,173,92.4,530.7,27.8,206.2,96.8,2.2,513.3
91,194.7,0.4,0,0.2,5.3,19.8,168.8,515,163.4,52.6,4.3,0.2,61.2,220.3,78.1,93.3,727.4,868.4,1479.2,78.5,1.5,83.5,61.5,134.6,101.2,436,33.2,213.2,96.6,2.2,442.1
